County	Deaths
how much people lost their life in pandemic in Edgefield.	2
how much people lost their life in pandemic in Fairfield.	9
how much people lost their life in pandemic in Florence.	29
how much people lost their life in pandemic in Georgetown.	3
how much people lost their life in pandemic in Greenville.	50
how much people lost their life in pandemic in Greenwood	1
how much people lost their life in pandemic in Hampton	0
how much people lost their life in pandemic in Horry	20
how much people lost their life in pandemic in Jasper	1
how much people lost their life in pandemic in Kershaw	12
how much people lost their life in pandemic in Lancaster	5
how much people lost their life in pandemic in Laurens	3
how much people lost their life in pandemic in Lee	11
how much people lost their life in pandemic in Lexington	29
how much people lost their life in pandemic in Marion	4
how much people lost their life in pandemic in Marlboro.	0
how much people lost their life in pandemic in McCormick	1
how much people lost their life in pandemic in Newberry	1
how much people lost their life in pandemic in Oconee	0
how much people lost their life in pandemic in Orangeburg	2
how much people lost their life in pandemic in Pickens	3
how much people lost their life in pandemic in Richland	62
how much people lost their life in pandemic in Saluda.	0
how much people lost their life in pandemic in Spartanburg	13
how much people lost their life in pandemic in Sumter	17
how much people lost their life in pandemic in Union	0
how much people lost their life in pandemic in Williamsburg	10
how much people lost their life in pandemic in York	5
total number of expired individuals Abbeville.	0
total number of expired individuals Aiken.	7
total number of expired individuals Allendale	3
total number of expired individuals Anderson.	8
total number of expired individuals Bamberg	0
total number of expired individuals Barnwell	1
total number of expired individuals Beaufort	12
total number of expired individuals Berkeley	15
total number of expired individuals Calhoun.	1
total number of expired individuals Charleston	11
total number of expired individuals Cherokee	2
total number of expired individuals Chester	0
total number of expired individuals Chesterfield	1
total number of expired individuals Clarendon	35
total number of expired individuals Colleton	8
total number of expired individuals Darlington	5
total number of expired individuals Dillon.	2
total number of expired individuals Dorchester.	3
total number of expired individuals Edgefield.	2
total number of expired individuals Fairfield.	9
total number of expired individuals Florence.	29
total number of expired individuals Georgetown.	3
total number of expired individuals Greenville.	50
total number of expired individuals Greenwood	1
total number of expired individuals Hampton	0
total number of expired individuals Horry	20
total number of expired individuals Jasper	1
total number of expired individuals Kershaw	12
total number of expired individuals Lancaster	5
total number of expired individuals Laurens	3
total number of expired individuals Lee	11
total number of expired individuals Lexington	29
total number of expired individuals Marion	4
total number of expired individuals Marlboro.	0
total number of expired individuals McCormick	1
total number of expired individuals Newberry	1
total number of expired individuals Oconee	0
total number of expired individuals Orangeburg	2
total number of expired individuals Pickens	3
total number of expired individuals Richland	62
total number of expired individuals Saluda.	0
total number of expired individuals Spartanburg	13
total number of expired individuals Sumter	17
total number of expired individuals Union	0
total number of expired individuals Williamsburg	10
total number of expired individuals York	5
most number of deaths	Richland 62
highest deaths	Richland 62
overwhelming amount of expired individuals	Richland 62
where did maximum people were expired	Richland 62
people deceased the most at	Richland 62
which county has the most number of people sent to heaven	Richland 62
worst deaths so far by which county	Richland 62
sabse zyada kitne swarg me gaye	Richland 62
Minimum deaths	Abbeville Bamberg Chester Hampton Oconee Saluda Union 0
Least deaths in which county	Abbeville Bamberg Chester Hampton Oconee Saluda Union 0
Minimum deaths county	Abbeville Bamberg Chester Hampton Oconee Saluda Union 0
county which has least number of death	Abbeville Bamberg Chester Hampton Oconee Saluda Union 0
minuscule number of mortality	Abbeville Bamberg Chester Hampton Oconee Saluda Union 0
Least deaths	Abbeville Bamberg Chester Hampton Oconee Saluda Union 0
